"品目コード","品目名称","２年売上"
"G1233540F-------F7","３５４０Ｆ　　Ｆ　１０００",11000
"G1233540F-------N3","３５４０Ｆ　　Ｎ　　　２５",139975
"G1233540FC------F7","３５４０ＦＣ　Ｆ　１０００",1274000
"G1233540FC------N3","３５４０ＦＣ　Ｎ　　　２５",275
"G1233540N-------N3","３５４０Ｎ　　Ｎ　　　２５",1025
"G1233570FC------F7","３５７０ＦＣ　Ｆ　１０００",3038000
"G1233570FC------N3","３５７０ＦＣ　Ｎ　　　２５",75
"G1233570FC-C41--F7",,58000
"G1233570P-------F4","３５７０Ｐ　　Ｆ　　８００",0
"G1234040F-------F7","４０４０Ｆ　　Ｆ　１０００",930000
"G1234040F-------N3","４０４０Ｆ　　Ｎ　　　２５",10350
"G1234040FC------F7",,0
"G1234040FC------N3","４０４０ＦＣ　Ｎ　　　２５",1900
"G1234040FC-B44--F7","４０４０ＦＣ　Ｆ　１０００　Ｂ４４",1132000
"G1234040FCB44S--F7","４０４０ＦＣ　Ｆ　１０００　Ｂ４４　再",0
"G1234040P-------F4","４０４０Ｐ　　Ｆ　　８００",0
"G123420SD-------F7","４２０ＳＤ　　Ｆ　１０００",270000
"G12343033M------F2","４３０３３Ｍ　Ｆ　　５００",0
"G12343033M------N2","４３０３３Ｍ　Ｎ　　　２０",3180
"G1234540F-------F7","４５４０Ｆ　　Ｆ　１０００",95000
"G1234540F-------N3",,4225
"G1234540P-------F4","４５４０Ｐ　　Ｆ　　８００",0
"G123500F--------F7","５００Ｆ　　　Ｆ　１０００",268000
"G123500F--------N3","５００Ｆ　　　Ｎ　　　２５",0
"G123500F--C21---F7",,94000
"G123502B--------F5","５０２Ｂ　　　Ｆ　９００",0
"G123502B--------N3",,6725
"G123613A--------F7","６１３Ａ　　　Ｆ　１０００",47000
"G123613A--------N3","６１３Ａ　　　Ｎ　　　２５",220475
"G123613A--B01---N3","６１３Ａ　　　Ｎ　　　２５　Ｂ０１",20600
"G123613A--B16---F7","６１３Ａ　　　Ｆ　１０００　Ｂ１６",24000
"G12362048M------F2","６２０４８Ｍ　Ｆ　　５００",92000
"G123631J--------F7","６３１Ｊ　　　Ｆ　１０００",94000
"G123631J--------N3","６３１Ｊ　　　Ｎ　　　２５",30725
"G123631J--B11---F7",,93000
"G123631J--B11---N3",,19825
