"品目コード","品目名称","２年売上"
"G123F522N-B45---F7","Ｆ５２２Ｎ　　Ｆ　１０００　Ｂ４５",93000
"G123F522N-C17---N3","Ｆ５２２Ｎ　　Ｎ　　　２５　Ｃ１７",0
"G123FL123-------F7",,2071000
"G123FL123-------N3",,86400
"G123FL123B------F7","ＦＬ１２３Ｂ　Ｆ　１０００",0
"G123FL123B------N3","ＦＬ１２３Ｂ　Ｎ　　　２５",0
"G123FL225-------F7","ＦＬ２２５　　Ｆ　１０００",1376000
"G123FL225-------N3","ＦＬ２２５　　Ｎ　　　２５",75550
"G123GZ555-------N3","ＧＺ５５５　　Ｎ　　　２５",1000
"G123GZ555Y------N3","ＧＺ５５５Ｙ　Ｎ　　　２５",3050
"G123J1019-------N3","Ｊ１０１９　　Ｎ　　　２５",35525
"G123J2326-------F7","Ｊ２３２６　　Ｆ　１０００",90000
"G123J2326-------N3","Ｊ２３２６　　Ｎ　　　２５",0
"G123J2516-------F2","Ｊ２５１６　　Ｆ　　５００",60000
"G123J2516-------F7","Ｊ２５１６　　Ｆ　１０００",1000
"G123J2516-------N3","Ｊ２５１６　　Ｎ　　　２５",22125
"G123J2516-C17---N3","Ｊ２５１６　　Ｎ　　　２５　Ｃ１７",25
"G123J2522-------F7","Ｊ２５２２　　Ｆ　１０００",420000
"G123J2522-------N3","Ｊ２５２２　　Ｎ　　　２５",301300
"G123J2522-B43---F7","Ｊ２５２２　　Ｆ　１０００　Ｂ４３",70000
"G123J2522-C17---N3","Ｊ２５２２　　Ｎ　　　２５　Ｃ１７",0
"G123J3519-------F7","Ｊ３５１９　　Ｆ　１０００",1229000
"G123J3519-------N3","Ｊ３５１９　　Ｎ　　　２５",185200
"G123J3519----S--F7","Ｊ３５１９　　Ｆ　１０００　再",0
"G123J3519-B25---F7","Ｊ３５１９　　Ｆ　１０００　Ｂ２５",7000
"G123J3519-B31---F7","Ｊ３５１９　　Ｆ　１０００　Ｂ３１",3927000
"G123J3519-B31S--F7","Ｊ３５１９　　Ｆ　１０００　Ｂ３１　再",0
"G123J3519-B43---N3","Ｊ３５１９　　Ｎ　　　２５　Ｂ４３",0
"G123J3519-C47---F3","Ｊ３５１９　　Ｆ　　５５０　Ｃ４７",0
"G123J3519-C47S--F3","Ｊ３５１９　　Ｆ　　５５０　Ｃ４７　再",0
"G123J3524-------N3","Ｊ３５２４　　Ｎ　　　２５",34800
"G123J5016-B43---F7",,29665
"G123J5019-------F7","Ｊ５０１９　　Ｆ　１０００",1201000
"G123J5019-------N3","Ｊ５０１９　　Ｎ　　　２５",247225
"G123J5019-C17---N3","Ｊ５０１９　　Ｎ　　　２５　Ｃ１７",0
"G123J6016-------N3","Ｊ６０１６　　Ｎ　　　２５",2400
"G123L220--------F7","Ｌ２２０　　　Ｆ　１０００",0
"G123L518--------F7","Ｌ５１８　　　Ｆ　１０００",57900
"G123L518--------N3","Ｌ５１８　　　Ｎ　　　２５",375
"G123L719--------F7","Ｌ７１９　　　Ｆ　１０００",623940
"G123L719--------N3","Ｌ７１９　　　Ｎ　　　２５",108525
"G123L719-----S--F7","Ｌ７１９　　　Ｆ　１０００　再",0
"G123L719--B45---F7","Ｌ７１９　　　Ｆ　１０００　Ｂ４５",604000
"G123L719--B45---N3",,1000
"G123L719--B45S--F7","Ｌ７１９　　　Ｆ　１０００　Ｂ４５　再",0
"G123L719--C17---N3","Ｌ７１９　　　Ｎ　　　２５　Ｃ１７",25
"G123M105--------N3","Ｍ１０５　　　Ｎ　　　２５",48900
"G123M105-----S--N3","Ｍ１０５　　　Ｎ　　　２５　再",0
"G123M105K-------N3","Ｍ１０５Ｋ　　Ｎ　　　２５",0
"G123M1920U------F7",,203000
"G123M1920U------N3",,30650
"G123M205--------N3","Ｍ２０５　　　Ｎ　　　２５",6500
"G123M305--------N3","Ｍ３０５　　　Ｎ　　　２５",494675
"G123M305-----S--N3","Ｍ３０５　　　Ｎ　　　２５　再",0
"G123M305--B61---N3","Ｍ３０５　　　Ｎ　　　２５　Ｂ６１",3250
"G123M405--------N3","Ｍ４０５　　　Ｎ　　　２５",118375
"G123M425--------N3","Ｍ４２５　　　Ｎ　　　２５",30750
"G123M525--------N3","Ｍ５２５　　　Ｎ　　　２５",525
"G123M615S-------N3","Ｍ６１５Ｓ　　Ｎ　　　２５",17500
"G123M705--------N3","Ｍ７０５　　　Ｎ　　　２５",5650
"G123M705M-------N3","Ｍ７０５Ｍ　　Ｎ　　　２５",16500
"G123M705M----S--N3","Ｍ７０５Ｍ　　Ｎ　　　２５　再",0
"G123M715--------F7","Ｍ７１５　　　Ｆ　１０００",0
"G123M715--------N3","Ｍ７１５　　　Ｎ　　　２５",34625
"G123M715-----S--F7","Ｍ７１５　　　Ｆ　１０００　再",0
"G123M86155------N3","Ｍ８６１５５　Ｎ　　　２５",13000
"G123M87085------N3","Ｍ８７０８５　Ｎ　　　２５",0
"G123MFS---------N3","ＭＦＳ　　　Ｎ　　　２５",2525
"G123MG801-------N3","ＭＧ８０１　　Ｎ　　　２５",0
"G123MKP---------F7","ＭＫＰ  　　Ｆ  １０００",0
"G123MKP---------N3","ＭＫＰ　　　Ｎ　　　２５",5025
"G123MR50--------F2","ＭＲ５０　　Ｆ　　５００",27000
"G123MUB4--------F7",,74434
"G123MUD---------N3","ＭＵＤ　　　　Ｎ　　　２５",60025
"G123MUT---------F7","ＭＵＴ　　　　Ｆ　１０００",0
"G123MUT---------N3","ＭＵＴ　　　　Ｎ　　　２５",250825
"G123MUT3--------N3","ＭＵＴ３　　　Ｎ　　　２５",20000
"G123MV30--------N3","ＭＶ３０　　　Ｎ　　　２５",600
"G123MVH6--------N3","ＭＶＨ６　　　Ｎ　　　２５",37125
"G123MWA---------N3","ＭＷＡ　　　　Ｎ　　　２５",0
"G123MWG---------N3","ＭＷＧ　　　　Ｎ　　　２５",30925
"G123MWG---B31---N3","ＭＷＧ　　　　Ｎ　　　２５　Ｂ３１",0
"G123MWGV--------F1","ＭＷＧＶ　　　Ｆ　４００",0
"G123MWGV--------N3","ＭＷＧＶ　　　Ｎ　２５",0
"G123MWIH--------N3","ＭＷＩＨ　　　Ｎ　　　２５",9900
"G123MWM---------N3","ＭＷＭ　　　　Ｎ　　　２５",9725
"G123MWM------S--N3","ＭＷＭ　　　　Ｎ　　　２５　再",0
"G123MWMV--------F5","ＭＷＭＶ　　　Ｆ　９００",0
"G123MWMV--------N3","ＭＷＭＶ　　　Ｎ　２５",0
"G123MWS---------N3","ＭＷＳ　　　　Ｎ　　　２５",75
"G123MWXM3-------N3","ＭＷＸＭ３　　Ｎ　　　２５",25
"G123MX24C-------FM","ＭＸ２４Ｃ　Ｆ　　　６００",0
"G123MXATB-------N3","ＭＸＡＴＢ　　Ｎ　　　２５",0
"G123MXATC-------N3","ＭＸＡＴＣ　　Ｎ　　　２５",0
"G123MXMC--------N3","ＭＸＭＣ　　　Ｎ　　　２５",0
"G123MXYD--------N3","ＭＸＹＤ　Ｎ　　　２５",0
"G123MZ474D------F7","ＭＺ４７４Ｄ　Ｆ　１０００",0
"G123MZ562-------N3","Ｚ５６２　　　Ｎ　　　２５",0
"G123MZ572-------N3","ＭＺ５７２　　Ｎ　　　２５",12150
"G123MZ592-------F1","ＭＺ５９２　　Ｆ　４００",0
"G123MZ592-------N3","ＭＺ５９２　　Ｎ　　　２５",100
"G123MZ652-------N3","ＭＺ６５２　　Ｎ　　　２５",16050
"G123MZ700-------N3","ＭＺ７００　　Ｎ　　　２５",0
"G123MZ702-------F7","ＭＺ７０２　　Ｆ　１０００",0
"G123MZ702-------N3","ＭＺ７０２　　Ｎ　　　２５",0
"G123MZ706-------N3","ＭＺ７０６　　Ｎ　　　２５",0
"G123NV1245------N2","ＮＶ１２４５　Ｎ　　　２０",0
"G123NVP-G-------N3","ＮＶＰ－Ｇ　　Ｎ　　　２５",0
"G123P6061N------N3","Ｐ６０６１Ｎ　Ｎ　　　２５",15475
"G123PB128-------N3",,100
"G123PC820N------N3",,11300
"G123PE531-------F7",,30726
"G123PE531-------N3","ＰＥ５３１　　Ｎ　　　２５",0
"G123PF105S------N3","ＰＦ１０５Ｓ　Ｎ　　　２５",14000
"G123PF224N------F7","ＰＦ２２４Ｎ　Ｆ　１０００",171618
"G123PF522N------N3","ＰＦ５２２Ｎ　Ｎ　　　２５",100
"G123PQ300-------N3",,22500
"G123PR600-------N3",,83025
"G123PV----------F7","ＰＶ　　　　　Ｆ　１０００",0
"G123PV----------N3","ＰＶ　　　　　Ｎ　　　２５",144825
"G123PV-------S--N3","ＰＶ　　　　　Ｎ　　　２５　再",0
"G123PVF205------N3","ＰＶＦ２０５　Ｎ　　　２５",0
"G123Q100--------N3",,12850
"G123Q200--------N3","Ｑ２００　　　Ｎ　　　２５",338750
"G123Q300--------N3","Ｑ３００　　　Ｎ　　　２５",84775
"G123QF023-------N3",,4000
"G123QF222-------F7",,19627
"G123QF222-------N3","ＱＦ２２２　　Ｎ　　　２５",18000
"G123QF222F------N3",,6625
"G123QF224C------N3",,85850
"G123QF234-------N3","ＱＦ２３４　　Ｎ　　　２５",3075
"G123QX----------F5","ＱＸ　　　　　Ｆ　　９００",0
"G123QX----------F7","ＱＸ　　　　　Ｆ　１０００",156957
"G123QX----------N3","ＱＸ　　　　　Ｎ　　　２５",121675
"G123QX----B16---F7","ＱＸ　　　　　Ｆ　１０００　Ｂ１６",0
"G123QX----B16---N3","ＱＸ　　　　　Ｎ　　　２５　Ｂ１６",0
"G123QX----C16---F7",,40965
"G123QX----C16---N3",,150
"G123QZ391-------F7",,58316
"G123QZ391-------N3","ＱＺ３９１　　Ｎ　　　２５",55325
"G123R300--------F7","Ｒ３００　　　Ｆ　１０００",3037000
"G123R300--------N3","Ｒ３００　　　Ｎ　　　２５",583275
"G123R300-----S--F7","Ｒ３００　　　Ｆ　１０００　再",0
"G123R300--B41---F7","Ｒ３００　　　Ｆ　１０００　Ｂ４１",254000
"G123R300--B41S--F7","Ｒ３００　　　Ｆ　１０００　Ｂ４１　再",0
"G123R300--B61---F7","Ｒ３００　　　Ｆ　１０００　Ｂ６１",405000
"G123R300--B61S--F7","Ｒ３００　　　Ｆ　１０００　Ｂ６１　再",0
"G123R300--B82---N3",,10000
"G123R300--C17---N3","Ｒ３００　　　Ｎ　　　２５　Ｃ１７",0
"G123R300A-------N3","Ｒ３００Ａ　　Ｎ　　　２５",140500
"G123R300UD------F7","Ｒ３００ＵＤ　Ｆ　１０００",15000
"G123R300UD------N3",,27150
"G123R350--------F7","Ｒ３５０　　　Ｆ　１０００",0
"G123R350-----S--F7","Ｒ３５０　　　Ｆ　１０００　再",0
"G123R350--B42---F7","Ｒ３５０　　　Ｆ　１０００　Ｂ４２",3000
"G123R350--B42---N3","Ｒ３５０　　　Ｎ　　　２５　Ｂ４２",0
"G123R500--------F7","Ｒ５００　　　Ｆ　１０００",633000
"G123R500--------N3","Ｒ５００　　　Ｎ　　　２５",421950
"G123R500-----S--F7","Ｒ５００　　　Ｆ　１０００　再",0
"G123R500--C43---F7","Ｒ５００　　　Ｆ　１０００　Ｃ４３",0
"G123R600--------F7","Ｒ６００　　　Ｆ　１０００",763000
"G123SC700V------F7","ＳＣ７００Ｖ　Ｆ　１０００",95101
"G123SCP---------F2","ＳＣＰ　　　　Ｆ　　５００",0
"G123SCP---------F7","ＳＣＰ　　　　Ｆ　１０００",0
"G123SCP---------N3","ＳＣＰ　　　　Ｎ　　　２５",0
"G123SCPLL-------F7","ＳＣＰＬＬ　　Ｆ　１０００",0
"G123SCPV--------F7","ＳＣＰＶ　　　Ｆ　１０００",0
"G123SCPV--------N3","ＳＣＰＶ　　　Ｎ　　　２５",0
"G123SP2040------F7",,360815
"G123SP204F------F7",,421241
"G123SR30AQ------F7","ＳＲ３０ＡＱ　Ｆ　１０００",120000
"G123TSS2--------N3",,29325
"G123TSSV--------F7","ＴＳＳＶ　　　Ｆ　１０００",149184
"G123TSSV--------N2",,840
"G123TSSV--------N3",,87100
"G123UC138-------F7","ＵＣ１３８　　Ｆ　１０００",0
"G123UC161-------F7","ＵＣ１６１　　Ｆ　１０００",0
"G123UC180E------F7","ＵＣ１８０Ｅ　　Ｆ　１０００",0
"G123UC197-------F7","ＵＣ１９７　　Ｆ　１０００",0
"G123UCMB--------F7","ＵＣＭＢ　　　　Ｆ　１０００",0
"G123UM1120------N2",,560
"G123UM1121------N2",,300
"G123UM1340------N2",,2600
"G123UM1380------N2","ＵＭ１３８０　Ｎ　　　２０",103460
"G123UM1415------N2","ＵＭ１４１５　Ｎ　　　２０",2820
"G123UM1420------N2","ＵＭ１４２０　Ｎ　　　２０",76920
"G123UM1524------N2",,200
"G123UM1530------N2","ＵＭ１５３０　Ｎ　　　２０",3460
"G123UM1610------N2","ＵＭ１６１０　Ｎ　　　２０",12080
"G123UM1805------N2","ＵＭ１８０５　Ｎ　　　２０",1580
"G123UM1820------N2","ＵＭ１８２０　Ｎ　　　２０",200
"G123UM1885------N2",,880
"G123UM1970------N2","ＵＭ１９７０　Ｎ　　　２０",0
"G123UM1980------N2","ＵＭ１９８０　Ｎ　　　２０",1400
"G123UM2520------N2",,0
"G123UM2534------N2",,1420
"G123UM2536------N2",,0
"G123UM2540------N2",,800
"G123UM2545------N2",,360
"G123UM2580------N2",,100
"G123UM2615------N2","ＵＭ２６１５　Ｎ　　　２０",7620
"G123UM2700------N2","ＵＭ２７００　Ｎ　　　２０",7200
"G123UM3117------N2","ＵＭ３１１７　Ｎ　　　２０",1000
"G123UM311G------F7","ＵＭ３１１Ｇ　Ｆ　１０００",0
"G123UM3166------N2",,520
"G123UM3216------N2",,1300
"G123UM3610------N2",,440
"G123UM3620------N2",,440
"G123UM3970------N2","ＵＭ３９７０　Ｎ　　　２０",4400
"G123UM4200------N2",,900
"G123UM4313------N2",,920
"G123UM4351------N2","ＵＭ４３５１  Ｎ　　　２０",2720
"G123UM4355------N2","ＵＭ４３５５　Ｎ　　　２０",15040
"G123UM4370------N2","ＵＭ４３７０　Ｎ　　　２０",8640
"G123UM4385------N2","ＵＭ４３８５　Ｎ　　　２０",400
"G123UM4410------N2","ＵＭ４４１０　Ｎ　　　２０",740
"G123UM447-------F7","ＵＭ４４７　　Ｆ　１０００",0
"G123UM4470------N2","ＵＭ４４７０　Ｎ　　　２０",120820
"G123UM4470---S--N2","ＵＭ４４７０　Ｎ　　　２０　再",0
"G123UM4830------N2",,380
"G123UM5570------N2",,900
"G123UM5805------N2",,400
"G123UM5820------N2","ＵＭ５８２０　Ｎ　　　２０",0
"G123UM587-------F7","ＵＭ５８７　　Ｆ　１０００",0
"G123UM5870------N2","ＵＭ５８７０　Ｎ　　　２０",39200
"G123UM5910------N2",,2840
"G123UM5951------N2",,940
"G123UM5970------N2","ＵＭ５９７０　Ｎ　　　２０",3080
"G123UM6070------N2",,920
"G123UM6240------N2",,900
"G123UM6280------N2",,420
"G123UM7420------N2",,300
"G123UM7860------N2","ＵＭ７８６０　Ｎ　　　２０",9680
"G123UM7885------N2",,380
"G123UM789-------F7","ＵＭ７８９　　Ｆ　１０００",0
"G123UM7890------N2","ＵＭ７８９０　Ｎ　　　２０",14300
"G123UM8350------N2",,17440
"G123UM8420------N2","ＵＭ８４２０　Ｎ　　　２０",30380
"G123UM8430------N2","ＵＭ８４３０　Ｎ　　　２０",0
"G123UM8470------N2",,1560
"G123UM8510------N2","ＵＭ８５１０　Ｎ　　　２０",16500
"G123UM8530------N2","ＵＭ８５３０　Ｎ　　　２０",0
"G123UM885-------F7",,0
"G123UM8850------N2","ＵＭ８８５０　Ｎ　　　２０",6800
"G123UM915-------N1","ＵＭ９１５　　Ｎ　　　１５",0
"G123UM920-------N1","ＵＭ９２０　　Ｎ　　　１５",0
"G123UM930-------N1","ＵＭ９３０　　Ｎ　　　１５",0
"G123UM940-------N1","ＵＭ９４０　　Ｎ　　　１５",0
"G123UMMC--------N3","ＵＭＭＣ　　　Ｎ      ２５",0
"G123V106--------F7","Ｖ１０６　　　Ｆ　１０００",169000
"G123V106--------N3","Ｖ１０６　　　Ｎ　　　２５",58625
"G123V106--B41---F7","Ｖ１０６　　　Ｆ　１０００　Ｂ４１",417000
"G123V106--C42---F7","Ｖ１０６　　　Ｆ　１０００　Ｃ４２",487000
"G123V106-P------F7",,8000
"G123V115--------F7","Ｖ１１５　　　Ｆ　１０００",238000
"G123V115--------N3","Ｖ１１５　　　Ｎ　　　２５",100300
"G123V115--C41---N3","Ｖ１１５　　　Ｎ　　　２５　Ｃ４１",0
"G123V115--C41S--N3","Ｖ１１５　　　Ｎ　　　２５　Ｃ４１再",0
"G123V206--------F7","Ｖ２０６　　　Ｆ　１０００",55000
"G123V206--------N3","Ｖ２０６　　　Ｎ　　　２５",1700
"G123V206--B11---F7","Ｖ２０６　　　Ｆ　１０００　Ｂ１１",269000
"G123V206--B43---F7","Ｖ２０６　　　Ｆ　１０００　Ｂ４３",0
"G123V206--C17---N3","Ｖ２０６　　　Ｎ　　　２５　Ｃ１７",0
"G123V206--C18---F7","Ｖ２０６　　　Ｆ　１０００　Ｃ１８",0
"G123V210--------F7","Ｖ２１０　　　Ｆ　１０００",100000
"G123V210--------N3","Ｖ２１０　　　Ｎ　　　２５",44975
"G123V215--------F7","Ｖ２１５　　　Ｆ　１０００",28000
"G123V215--------N3","Ｖ２１５　　　Ｎ　　　２５",201175
"G123V215--C01---F7","Ｖ２１５　　　Ｆ　１０００　Ｃ０１",332000
"G123V215--C01S--F7","Ｖ２１５　　　Ｆ　１０００　Ｃ０１　再",0
"G123V215--C02---F7","Ｖ２１５　　　Ｆ　１０００　Ｃ０２",50000
"G123V215--C17---N3","Ｖ２１５　　　Ｎ　　　２５　Ｃ１７",20000
"G123V215--C17S--N3","Ｖ２１５　　　Ｎ　　 ２５ Ｃ１７　再",0
"G123V215--C41---F7","Ｖ２１５　　　Ｆ　１０００　Ｃ４１",706000
"G123V215--C47---N3","Ｖ２１５　　　Ｎ　　　２５　Ｃ４７",0
"G123V215--C97---N3","Ｖ２１５　　　Ｎ　　　２５　Ｃ９７",25
"G123V218--------F7","Ｖ２１８　　　Ｆ　１０００",2000
"G123V218-----S--F7","Ｖ２１８　　　Ｆ　１０００　　再",0
"G123V218-----S--N3","Ｖ２１８　　　Ｎ　　　２５　　再",0
"G123V218--B41---F7","Ｖ２１８　　　Ｆ　１０００　Ｂ４１",26000
"G123V218--C17---N3","Ｖ２１８　　　Ｎ　　　２５　Ｃ１７",97375
"G123V218--C41---F7","Ｖ２１８　　　Ｆ　１０００　Ｃ４１",0
"G123V220--------N3","Ｖ２２０　　　Ｎ　　　２５",8900
"G123V220--C17---N3",,53500
"G123V221--------N3","Ｖ２２１　　　Ｎ　　　２５",68075
"G123V221--C17---N3","Ｖ２２１　　　Ｎ　　　２５　Ｃ１７",0
"G123V221N-------F7","Ｖ２２１Ｎ　　Ｆ　１０００",270000
"G123V221N-------N3","Ｖ２２１Ｎ　　Ｎ　　　２５",55250
"G123V315--------N3","Ｖ３１５　　　Ｎ　　　２５",29850
"G123V319--------N3","Ｖ３１９　　　Ｎ　　　２５",12375
"G123V322--C17---N3","Ｖ３２２　　　Ｎ　　　２５　Ｃ１７",25
"G123VB202B------F6","ＶＢ２０２Ｂ　Ｆ　　９５０",540550
"G123VB204T------F7","ＶＢ２０４Ｔ　Ｆ　　１０００",81975
"G123VF104G------F7",,17887
"G123VF105G------F7",,38000
"G123VF105S------F7","ＶＦ１０５Ｓ　　Ｆ　１０００",513000
"G123VF105S------N3","ＶＦ１０５Ｓ　　Ｎ　　　２５",10125
"G123VF105T------F7","ＶＦ１０５Ｔ　　Ｆ　１０００",0
"G123VF105T------N3","ＶＦ１０５Ｔ　　Ｎ　　　２５",0
"G123VF115G------F7","ＶＦ１１５Ｇ　　Ｆ　１０００",842950
"G123VF115G------N3",,0
"G123VF115S------F7","ＶＦ１１５Ｓ　　Ｆ　１０００",284000
"G123VF115S------N3","ＶＦ１１５Ｓ　　Ｎ　　　２５",4050
"G123VF120S------F7","ＶＦ１２０Ｓ　　Ｆ　１０００",1216000
"G123VF120S------N3","ＶＦ１２０Ｓ　　Ｎ　　　２５",164700
"G123VF120SC41---N3","ＶＦ１２０Ｓ　　Ｎ　　　２５　Ｃ４１",0
"G123VF120T------F7","ＶＦ１２０Ｔ　　Ｆ　１０００",40000
"G123VF120T------N3","ＶＦ１２０Ｔ　　Ｎ　　　２５",35150
"G123VF1530------F7",,56615
"G123VF205-------F7","ＶＦ２０５　　　Ｆ　１０００",418000
"G123VF205----S--F7","ＶＦ２０５　　　Ｆ　１０００　再",0
"G123VF210G------F7","ＶＦ２１０Ｇ　　Ｆ　１０００",0
"G123VF210G------N3",,25
"G123VF210GC41---N3","ＶＦ２１０Ｇ　　Ｎ　　　２５　Ｃ４１",0
"G123VF215C------F7","ＶＦ２１５Ｃ　Ｆ　１０００",45000
"G123VF215C------N3",,150
"G123VF215C---S--F7","ＶＦ２１５Ｃ　Ｆ　１０００　再",0
"G123VF215CB01---F7","ＶＦ２１５Ｃ　Ｆ　１０００　Ｂ０１",840000
"G123VF215CB12---F7","ＶＦ２１５Ｃ　Ｆ　１０００　Ｂ１２",40000
"G123VF215CB31---F7","ＶＦ２１５Ｃ　Ｆ　１０００　Ｂ３１",0
"G123VF215CC02---F7","ＶＦ２１５Ｃ　Ｆ　１０００　Ｃ０２",563000
"G123VF215CC02S--F7","ＶＦ２１５Ｃ　Ｆ　１０００　Ｃ０２　再",0
"G123VF300-------F7","ＶＦ３００　　Ｆ　１０００",0
"G123VF3030------FT","ＶＦ３０３０　　Ｆ　　８５０",2435910
"G123VF3030---S--F5","ＶＦ３０３０　　Ｆ　　９００　再",0
"G123VF3030---S--FT","ＶＦ３０３０　　Ｆ　　８５０　再",0
"G123VZ259-------N3","ＶＺ２５９　　Ｎ　　　２５",0
"G123VZ289-------F5","ＶＺ２８９　　Ｆ　　９００",0
"G123VZ297A------F7","ＶＺ２９７Ａ　Ｆ　１０００",0
"G123VZ297A------N3","ＶＺ２９７Ａ　Ｎ　　　２５",0
"G123VZ297S------N3","ＶＺ２９７Ｓ　Ｎ　　　２５",0
"G123VZ385A------F7","ＶＺ３８５Ａ　Ｆ　１０００",0
"G123VZ668-------N3","ＶＺ６６８　Ｎ　　　２５",0
"G123VZ726-------FM",,0
"G123VZ726-------FT","ＶＺ７２６　　　Ｆ　　８５０",0
"G123VZ726----S--F5","ＶＺ７２６　　　Ｆ　　９００　再",0
"G123VZ726----S--FT","ＶＺ７２６　　　Ｆ　　８５０　再",0
"G123VZ727-------FT","ＶＺ７２７　　　Ｆ　　８５０",0
"G123VZ730-------F7","ＶＺ７３０　　　Ｆ　１０００",0
"G123VZ731-------F7","ＶＺ７３１　　　Ｆ　１０００",0
"G123VZ732-------N3","ＶＺ７３２　　　Ｎ　　　２５",0
"G123XF3000------N3",,4650
"G123XF3000B72---F5","ＸＦ３０００　Ｆ  　９００　Ｂ７２",0
"G123XF3000B72---N3","ＸＦ３０００　Ｎ    　２５　Ｂ７２",43600
"G123XF3000C17---N3","ＸＦ３０００　Ｎ    　２５　Ｃ１７",2900
"G123XF3000C43---N3","ＸＦ３０００　Ｎ    　２５　Ｃ４３",6500
"G123XM1000------F2","ＸＭ１０００　Ｆ　　５００",0
"G123XM1000------N3",,100
"G123XTTF81------F4",,16000
"G123XTTF83------F4","ＸＴＴＦ８３　Ｆ　　８００",1283312
"G123Y1300J------N3","１３００Ｊ　　Ｎ　　２５",0
"G123Y2070-------F7","２０７０　　　Ｆ　１０００",133000
"G123Y2070-------N3","２０７０　　　Ｎ　　　２５",800
"G123Y2500-------F2","Ｇ２５００　　Ｆ　　５００",9500
"G123Y2500-------N3","Ｇ２５００　　Ｎ　　　２５",0
"G123Y2500----S--F2","Ｇ２５００　　Ｆ　　５００　再",0
"G123YC18NJ------F2","ＹＦＣ１８ＮＪ　Ｆ　５００",123500
"G123YFC20H------F3","ＹＦＣ２０Ｈ　Ｆ　５５０",625900
"G123YFC20H------F7","ＹＦＣ２０Ｈ　Ｆ　１０００",2000
"G123YGA401------N3","ＧＡ４０１　　Ｎ　　　２５",0
"G123YGA701------N3","ＧＡ７０１　　Ｎ　　　２５",0
"G123YGA801------N3","ＧＡ８０１　　Ｎ　　　２５",0
"G123YK1010------F7","ＹＫ１０１０　Ｆ　１０００",0
"G123YK1010---S--F7","ＹＫ１０１０　Ｆ　１０００　再",0
"G123YL1850------F7","Ｌ１８５０Ａ　Ｆ　１０００",0
"G123YP9820------F7","Ｐ９８２０－１　Ｆ　１０００",0
"G123YP9820------N3","Ｐ９８２０－１　Ｎ　　　２５",0
"G123Z322--------N3","Ｚ３２２　　　Ｎ　　　２５",84175
"G123Z322--C17---F3","Ｚ３２２　　　Ｆ　　５５０　Ｃ１７",0
"G123Z322--C17S--F3","Ｚ３２２　　　Ｆ　　５５０　Ｃ１７再",0
"G123Z372--------F7","Ｚ３７２　　　Ｆ　１０００",381000
"G123Z372--------N3",,26475
"G123Z372-----S--F7","Ｚ３７２　　　Ｆ　１０００　再",0
"G123Z372--B42---F7","Ｚ３７２　　　Ｆ　１０００　Ｂ４２",0
"G123Z372--B45---F7","Ｚ３７２　　　Ｆ　１０００　Ｂ４５",134000
"G123Z391--------F7","Ｚ３９１　　　Ｆ　１０００",1326000
"G123Z391--------N3","Ｚ３９１　　　Ｎ　　　２５",73925
"G123Z391-----S--F7","Ｚ３９１　　　Ｆ　１０００　再",0
"G123Z452UV------F7","Ｚ４５２ＵＶ　Ｆ　１０００",191000
"G123Z455N-------F7","Ｚ４５５Ｎ　　Ｆ　１０００",0
"G123Z455N----S--F7","Ｚ４５５Ｎ　　Ｆ　１０００　再",0
"G123Z455N-B42---F7","Ｚ４５５Ｎ　　Ｆ　１０００　Ｂ４２",0
"G123Z463--------F2",,0
"G123Z463--------F7","Ｚ４６３　　　Ｆ　１０００",6000
"G123Z463--------N3","Ｚ４６３　　　Ｎ　　　２５",63175
"G123Z463A-------F7","Ｚ４６３Ａ　　Ｆ　１０００",521000
"G123Z481--------F7","Ｚ４８１　　　Ｆ　１０００",0
"G123Z481--------N3",,0
"G123Z543--------F7","Ｚ５４３　　　Ｆ　１０００",90000
"G123Z568--------F7","Ｚ５６８　　　Ｆ　１０００",250000
"G123Z568--------N3","Ｚ５６８　　　Ｎ　　　２５",0
"G123Z601--------F7","Ｚ６０１　　　Ｆ　１０００",20000
"G123Z601--------N3","Ｚ６０１　　　Ｎ　　　２５",0
"G123Z602--------F2","Ｚ６０２　　　Ｆ　　５００",3000
"G123Z645--------F7","Ｚ６４５　　　Ｆ　１０００",112000
"G123Z652--------F7","Ｚ６５２　　　Ｆ　１０００",127000
"G123Z652--------N3","Ｚ６５２　　　Ｎ　　　２５",800
"G123Z653--------F7","Ｚ６５３　　　Ｆ　１０００",404975
"G123Z653--------N3",,0
"G123Z657--------F7","Ｚ６５７　　　Ｆ　１０００",0
"G123Z657--------N3","Ｚ６５７　　　Ｎ　　　２５",208100
"G123Z657--B31---N3","Ｚ６５７　　　Ｎ　　　２５　Ｂ３１",66000
"G123Z670--------F7","Ｚ６７０　　　Ｆ　１０００",221000
"G123Z670--------N3",,28000
"G123Z670-----S--F7","Ｚ６７０　　　Ｆ　１０００　再",0
"G123Z702--------N3","Ｚ７０２　　　Ｎ　　　２５",0
"G123Z707--------F6",,12200
"G123Z711--------F7","Ｚ７１１　　　Ｆ　１０００",0
"G123Z715--------F7",,21000
"G123Z715--------N3","Ｚ７１５　　　Ｎ　　　２５",7250
"G123Z717--------F7","Ｚ７１７　　　Ｆ　１０００",0
"G123Z725--------F7","Ｚ７２５　　　Ｆ　１０００",0
"G123Z725--------N3","Ｚ７２５　　　Ｎ　　　２５",0
